category,name,url,id,description,image_url
Devices,All Applications,,,,
Devices,Home,,,,
Devices,All Applications,,,,
Devices,All Applications,,,,
Devices,All Applications,,,,
Devices,14 ResultsUse quotes for exact search,,,,
Devices,14 Results,,,,
Devices,Use quotes for exact search,,,,
Devices,Hide Filters,,,,
Devices,Hide Filters,,,,
Devices,Hide Filters,,,,
Devices,Hide Filters,,,,
Devices,Sort By,,,,
Devices,View Mode,,,,
Devices,Procurri Lifecycle & ITAD,https://catalog.appdirect.com/en-US/apps/483098/samsung-86inch3840x2160-(landscape)8ms-400cdm2,483098,"Procurri Lifecycle & ITAD
Maximize returns from decommissioned IT hardware assets.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/476691/thumbs_64/img7786360916698614732.png
Devices,Procurri Lifecycle & ITAD,https://catalog.appdirect.com/en-US/apps/483098/samsung-86inch3840x2160-(landscape)8ms-400cdm2,483098,"Procurri Lifecycle & ITAD
Maximize returns from decommissioned IT hardware assets.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/476691/thumbs_64/img7786360916698614732.png
Devices,Procurri Lifecycle & ITAD,https://catalog.appdirect.com/en-US/apps/483098/samsung-86inch3840x2160-(landscape)8ms-400cdm2,483098,"Procurri Lifecycle & ITAD
Maximize returns from decommissioned IT hardware assets.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/476691/thumbs_64/img7786360916698614732.png
Devices,Procurri Lifecycle & ITAD,https://catalog.appdirect.com/en-US/apps/476691/procurri-lifecycle-itad,476691,"Procurri Lifecycle & ITAD
Maximize returns from decommissioned IT hardware assets.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/476691/thumbs_64/img7786360916698614732.png
Devices,Procurri Lifecycle & ITAD,,,,
Devices,Procurri Lifecycle & ITAD,,,,
Devices,Procurri Lifecycle & ITAD,,,"Procurri Lifecycle & ITAD
Maximize returns from decommissioned IT hardware assets.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/476691/thumbs_64/img7786360916698614732.png
Devices,Procurri Lifecycle & ITAD,,,"Procurri Lifecycle & ITAD
Maximize returns from decommissioned IT hardware assets.",
Devices,Procurri Lifecycle & ITAD,,,"Procurri Lifecycle & ITAD
Maximize returns from decommissioned IT hardware assets.",
Devices,Procurri Lifecycle & ITAD,,,,
Devices,Procurri Lifecycle & ITAD,,,,
Devices,Maximize returns from decommissioned IT hardware assets.,,,,
Devices,Compare,,,,
Devices,Compare,,,,
