category,name,url,id,description,image_url
Energy,All Applications,,,,
Energy,Home,,,,
Energy,All Applications,,,,
Energy,All Applications,,,,
Energy,All Applications,,,,
Energy,56 ResultsUse quotes for exact search,,,,
Energy,56 Results,,,,
Energy,Use quotes for exact search,,,,
Energy,Hide Filters,,,,
Energy,Hide Filters,,,,
Energy,Hide Filters,,,,
Energy,Hide Filters,,,,
Energy,Sort By,,,,
Energy,View Mode,,,,
Energy,Now Available on AppDirect,https://catalog.appdirect.com/en-US/apps/357111/txu-energy,357111,"AEP Energy Fixed Price All-Inclusive
Stabilize costs with fixed kWh price and lock in 100% energy cost through forward purchases.",https://d3bql97l1ytoxn.cloudfront.net/f6e59e1e-e959-4d7a-97e0-52c7cb823386/9d091a4b-9f71-4e14-b024-642c29e1b1c9.png
Energy,energyware™,https://catalog.appdirect.com/en-US/apps/251100/energyware,251100,,https://d3bql97l1ytoxn.cloudfront.net/app_resources/251100/thumbs_64/img1466197577675844334.png
Energy,energyware™,,,,https://d3bql97l1ytoxn.cloudfront.net/app_resources/251100/thumbs_64/img1466197577675844334.png
Energy,energyware™,,,,
Energy,AEP Energy Fixed Price All-Inclusive,https://catalog.appdirect.com/en-US/apps/357111/txu-energy,357111,"AEP Energy Fixed Price All-Inclusive
Stabilize costs with fixed kWh price and lock in 100% energy cost through forward purchases.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/312145/thumbs_64/img6737407475885110616.png
Energy,AEP Energy Fixed Price All-Inclusive,https://catalog.appdirect.com/en-US/apps/357111/txu-energy,357111,"AEP Energy Fixed Price All-Inclusive
Stabilize costs with fixed kWh price and lock in 100% energy cost through forward purchases.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/312145/thumbs_64/img6737407475885110616.png
Energy,AEP Energy Fixed Price All-Inclusive,https://catalog.appdirect.com/en-US/apps/312145/aep-energy-fixed-price-all-inclusive,312145,"AEP Energy Fixed Price All-Inclusive
Stabilize costs with fixed kWh price and lock in 100% energy cost through forward purchases.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/312145/thumbs_64/img6737407475885110616.png
Energy,AEP Energy Fixed Price All-Inclusive,,,,
Energy,AEP Energy Fixed Price All-Inclusive,,,,
Energy,AEP Energy Fixed Price All-Inclusive,,,"AEP Energy Fixed Price All-Inclusive
Stabilize costs with fixed kWh price and lock in 100% energy cost through forward purchases.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/312145/thumbs_64/img6737407475885110616.png
Energy,AEP Energy Fixed Price All-Inclusive,,,"AEP Energy Fixed Price All-Inclusive
Stabilize costs with fixed kWh price and lock in 100% energy cost through forward purchases.",
Energy,AEP Energy Fixed Price All-Inclusive,,,"AEP Energy Fixed Price All-Inclusive
Stabilize costs with fixed kWh price and lock in 100% energy cost through forward purchases.",
Energy,AEP Energy Fixed Price All-Inclusive,,,,
Energy,AEP Energy Fixed Price All-Inclusive,,,,
Energy,Stabilize costs with fixed kWh price and lock in 100% energy cost through forward purchases.,,,,
Energy,Compare,,,,
Energy,Compare,,,,
Energy,EV Connect EV Charging Solutions,https://catalog.appdirect.com/en-US/apps/312148/ev-connect-ev-charging-solutions,312148,"EV Connect EV Charging Solutions
EV charging solutions to connect utilities, businesses & organizations, charging stations & drivers.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/312148/thumbs_64/img2736173804262035721.png
Energy,EV Connect EV Charging Solutions,,,,
Energy,EV Connect EV Charging Solutions,,,,
Energy,EV Connect EV Charging Solutions,,,"EV Connect EV Charging Solutions
EV charging solutions to connect utilities, businesses & organizations, charging stations & drivers.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/312148/thumbs_64/img2736173804262035721.png
Energy,EV Connect EV Charging Solutions,,,"EV Connect EV Charging Solutions
EV charging solutions to connect utilities, businesses & organizations, charging stations & drivers.",
Energy,EV Connect EV Charging Solutions,,,"EV Connect EV Charging Solutions
EV charging solutions to connect utilities, businesses & organizations, charging stations & drivers.",
Energy,EV Connect EV Charging Solutions,,,,
Energy,EV Connect EV Charging Solutions,,,,
Energy,"EV charging solutions to connect utilities, businesses & organizations, charging stations & drivers.",,,,
Energy,Compare,,,,
Energy,Compare,,,,
Energy,Constellation Natural Gas,https://catalog.appdirect.com/en-US/apps/312151/constellation-natural-gas,312151,"Constellation Natural Gas
Natural gas provider offering budgeted natural gas plans to customers in deregulated energy markets.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/312151/thumbs_64/img2046402045385255227.png
Energy,Constellation Natural Gas,,,,
Energy,Constellation Natural Gas,,,,
Energy,Constellation Natural Gas,,,"Constellation Natural Gas
Natural gas provider offering budgeted natural gas plans to customers in deregulated energy markets.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/312151/thumbs_64/img2046402045385255227.png
Energy,Constellation Natural Gas,,,"Constellation Natural Gas
Natural gas provider offering budgeted natural gas plans to customers in deregulated energy markets.",
Energy,Constellation Natural Gas,,,"Constellation Natural Gas
Natural gas provider offering budgeted natural gas plans to customers in deregulated energy markets.",
Energy,Constellation Natural Gas,,,,
